sample,rep,dose,fc,λ̂,λ,cell_count_day_3
Week 2 I,2,0.01,0.8212,-0.06566286461245284,0.18305050534280198,1.7317830041927298
Week 2 I,3,0.01,0.9092,-0.03173006233458297,0.21698330762067186,1.9173613095616537
Week 2 I,4,0.01,0.884,-0.04109940544816453,0.2076139645070903,1.8642184312060075
Week 3 I,1,0.01,0.6055,-0.16723357199633002,0.08147979795892482,1.2769052716009475
Week 3 I,2,0.01,0.6641,-0.13644084614515634,0.1122725238100985,1.400483552221617
Week 3 I,3,0.01,0.5946,-0.17328878947271323,0.07542458048254161,1.253918867867751
Week 3 I,4,0.01,0.6065,-0.1666835168660107,0.08202985308924413,1.2790141159801398
Week 4 I,1,0.01,0.7755,-0.08474909878851454,0.16396427116674028,1.6354088160636409
Week 4 I,2,0.01,0.8152,-0.06810726569120731,0.18060610426404752,1.719129937917576
Week 4 I,3,0.01,0.8359,-0.059748763425675554,0.18896460652957928,1.7627830165668568
Week 4 I,4,0.01,0.923,-0.02670868149309495,0.2220046884621599,1.9464633619945078
Vector Control,1,0.1,0.9971,-0.0009680710491299423,0.2477452989061249,2.1027287304926583
Vector Control,2,0.1,0.9494,-0.017308357621639788,0.23140501233361505,2.002136853605185
Vector Control,3,0.1,1.0635,0.02052178521938491,0.26923515517463975,2.242755997271028
Vector Control,4,0.1,0.99,-0.00335011195116715,0.24536325800408768,2.0877559354003927
V600E,1,0.1,0.857,-0.0514391201281191,0.19727424982713573,1.8072796329678147
V600E,2,0.1,0.8923,-0.03798429335867711,0.21072907659657772,1.8817218395533035
V600E,3,0.1,0.9559,-0.015033991304140062,0.23367937865111477,2.0158443420699346
V600E,4,0.1,1.0408,0.01332988273871947,0.2620432526939743,2.1948852298633623
Week 1,1,0.1,0.7338,-0.10317292235365179,0.14554044760160306,1.5474700054513215
Week 1,2,0.1,0.7656,-0.08903181294779754,0.1596815570074573,1.614531256709637
Week 1,3,0.1,0.7859,-0.08030857370333593,0.1684047962519189,1.6573407976072412
Week 1,4,0.1,0.7095,-0.11439826079401322,0.13431510916124162,1.4962250870369482
Week 2 C,1,0.1,0.5818,-0.18054284430701195,0.06817052564824289,1.2269256598140894
Week 2 C,2,0.1,0.6304,-0.1538002468128226,0.09491312314243225,1.3294154966428358
Week 2 C,3,0.1,0.5912,-0.17520030311604837,0.07351306683920647,1.2467487969784972
Week 2 C,4,0.1,0.572,-0.18620542920077976,0.06250794075447508,1.2062589848980045
Week 3 C,1,0.1,0.6723,-0.1323502031690487,0.11636316678620615,1.4177760761309939
Week 3 C,2,0.1,0.6662,-0.13538845107418593,0.11332491888106891,1.4049121254179209
Week 3 C,3,0.1,0.7073,-0.11543345831339757,0.13327991164185726,1.4915856294027252
Week 3 C,4,0.1,0.7509,-0.09549426395876627,0.15321910599648858,1.58353124433551
Week 4 C,1,0.1,0.7166,-0.11107915803709452,0.13763421191816033,1.5111978821292138
Week 4 C,2,0.1,0.7307,-0.10458410006165497,0.14412926989359987,1.5409325878758253
Week 4 C,3,0.1,0.8055,-0.07209735878836933,0.17661601116688552,1.6986741474394107
Week 4 C,4,0.1,0.8419,-0.057364678879506255,0.1913486910757486,1.7754360828420108
Week 2 I,1,0.1,0.8637,-0.048843264231965715,0.19987010572328912,1.8214088903084034
Week 2 I,2,0.1,1.0367,0.012014197115643103,0.26072756707089795,2.186238967908674
Week 2 I,3,0.1,0.8682,-0.047111058705547965,0.20160231124970687,1.8308986900147688
Week 2 I,4,0.1,0.7777,-0.0838048110937465,0.16490855886150835,1.640048273697864
Week 3 I,1,0.1,0.5578,-0.1945849345962495,0.05412843535900533,1.1763133947134738
Week 3 I,2,0.1,0.6048,-0.16761915137227126,0.08109421858298357,1.2754290805355128
Week 3 I,3,0.1,0.6063,-0.16679345530148404,0.0819199146537708,1.278592347104301
Week 3 I,4,0.1,0.5679,-0.18860331069958344,0.060110059255671394,1.197612722943316
Week 4 I,1,0.1,0.8948,-0.03705168312205415,0.2116616868332007,1.8869939505012845
Week 4 I,2,0.1,0.9261,-0.02559101960197124,0.2231223503532836,1.953000779570004
Week 4 I,3,0.1,0.8961,-0.03656775503065441,0.21214561492460043,1.8897354481942346
Week 4 I,4,0.1,1.0232,0.007644990427498663,0.2563583603827535,2.157769568789578
Vector Control,1,0.3,1.0005,0.0001666250138836643,0.2488799949691385,2.109898801381912
Vector Control,2,0.3,0.9719,-0.009500786824237384,0.23921258313101745,2.049585852137012
Vector Control,3,0.3,0.9481,-0.017765099019407853,0.230948270935847,1.9993953559122348
Vector Control,4,0.3,0.966,-0.01153048158987303,0.23718288836538182,2.0371436702997774
V600E,1,0.3,0.839,-0.05851485750497697,0.19019851245027786,1.769320434142353
V600E,2,0.3,0.8446,-0.05629737882743128,0.19241599112782357,1.7811299626658301
V600E,3,0.3,0.8151,-0.06814815796057508,0.18056521199467976,1.7189190534796568
V600E,4,0.3,0.9331,-0.02308096758072024,0.2256324023745346,1.9677626902243501
Week 1,1,0.3,0.7245,-0.10742450574046665,0.1412888642147882,1.5278577527248332
Week 1,2,0.3,0.7686,-0.08772820028379785,0.16098516967145698,1.620857789847214
Week 1,3,0.3,0.7332,-0.10344558767219571,0.14526778228305914,1.546204698823806
Week 1,4,0.3,0.756,-0.09323796760086801,0.15547540235438684,1.594286350669391
Week 2 C,1,0.3,0.6402,-0.14865821714879146,0.10005515280646338,1.3500821715589206
Week 2 C,2,0.3,0.6421,-0.14767040806071144,0.1010429618945434,1.3540889758793861
Week 2 C,3,0.3,0.6325,-0.1526916861268206,0.09602168382843423,1.3338440698391398
Week 2 C,4,0.3,0.6453,-0.14601331801344766,0.10270005194180717,1.3608372778928015
Week 3 C,1,0.3,0.7431,-0.09897488460623784,0.14973848534901701,1.56708225817781
Week 3 C,2,0.3,0.8146,-0.06835269458927495,0.18036067536597988,1.7178646312900605
Week 3 C,3,0.3,0.7171,-0.11084665936453597,0.13786671059071887,1.5122523043188096
Week 3 C,4,0.3,0.7625,-0.09038425683352347,0.15832911312173137,1.6079938391341408
Week 4 C,1,0.3,0.7674,-0.08824903372309502,0.16046433623215983,1.6183271765921834
Week 4 C,2,0.3,0.8564,-0.05167257408886975,0.1970407958663851,1.8060143263402995
Week 4 C,3,0.3,0.7214,-0.10885383683756612,0.13985953311768873,1.521320335149337
Week 4 C,4,0.3,0.8051,-0.07226292855873398,0.17645044139652086,1.6978306096877336
Week 2 I,1,0.3,0.7455,-0.09790004825911462,0.1508133216961402,1.5721434846878717
Week 2 I,2,0.3,0.9836,-0.00551198954669984,0.243201380408555,2.074259331373562
Week 2 I,3,0.3,0.8202,-0.06606902200805938,0.18264434794719547,1.7296741598135377
Week 2 I,4,0.3,0.935,-0.02240291656448333,0.2263104533907715,1.9717694945448154
Week 3 I,1,0.3,0.6712,-0.1328960412763802,0.11581732867887465,1.4154563473138826
Week 3 I,2,0.3,0.7272,-0.10618457870628935,0.1425287912489655,1.5335516325486522
Week 3 I,3,0.3,0.6435,-0.14694441731531857,0.10176895263993627,1.3570413580102554
Week 3 I,4,0.3,0.6646,-0.13618997435388105,0.11252339560137378,1.401537974411213
Week 4 I,1,0.3,0.9313,-0.023724606484841634,0.2249887634704132,1.9639667703418038
Week 4 I,2,0.3,0.7632,-0.09007838628268677,0.15863498367256806,1.6094700301995755
Week 4 I,3,0.3,0.8641,-0.04868892537826116,0.20002444457699367,1.8222524280600803
Week 4 I,4,0.3,0.8785,-0.04317979045166174,0.2055335795035931,1.8526197871204495
Vector Control,1,1.0,0.9517,-0.016501806634613116,0.23221156332064172,2.006987195677327
Vector Control,2,1.0,0.9256,-0.02577103436755675,0.22294233558769808,1.9519463573804077
Vector Control,3,1.0,0.8391,-0.05847513003537113,0.1902382399198837,1.7695313185802723
Vector Control,4,1.0,0.8205,-0.06594712281733049,0.18276624713792433,1.7303068131272952
V600E,1,1.0,0.9768,-0.00782445206188071,0.24088891789337413,2.059919189595054
V600E,2,1.0,0.966,-0.01153048158987303,0.23718288836538182,2.0371436702997774
V600E,3,1.0,1.0859,0.027469712080239267,0.27618308203549413,2.2899941113649365
V600E,4,1.0,0.9712,-0.009740952892301095,0.23897241706295375,2.048109661071577
Week 1,1,1.0,0.8161,-0.0677394608356466,0.18097390911960826,1.7210278978588491
