sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
V600E,2,0,nil,1000,6.90775527898214,0.1544,-0.622736213797154,-0.417358007924388
V600E,3,0,nil,1000,6.90775527898214,0.1669,-0.596786816104783,-0.391408610232017
V600E,4,0,nil,1000,6.90775527898214,0.1583,-0.614421104031724,-0.409042898158958
Week 1,1,7,continuous,1000,6.90775527898214,0.4388,-0.274570516860354,-0.0691923109875879
Week 1,2,7,continuous,1000,6.90775527898214,0.42,-0.289166855901574,-0.0837886500288083
Week 1,3,7,continuous,1000,6.90775527898214,0.3908,-0.313186452937836,-0.10780824706507
Week 1,4,7,continuous,1000,6.90775527898214,0.3794,-0.323054740493741,-0.117676534620975
Week 2 C,1,14,continuous,1000,6.90775527898214,0.4808,-0.244101298587046,-0.0387230927142804
Week 2 C,2,14,continuous,1000,6.90775527898214,0.5483,-0.200310898857378,0.00506730701538795
Week 2 C,3,14,continuous,1000,6.90775527898214,0.463,-0.256676074965301,-0.0512978690925349
Week 2 C,4,14,continuous,1000,6.90775527898214,0.3764,-0.325700957090304,-0.120322751217538
Week 3 C,1,21,continuous,1000,6.90775527898214,0.4949,-0.234466519008099,-0.0290883131353329
Week 3 C,2,21,continuous,1000,6.90775527898214,0.5233,-0.215866788534658,-0.0104885826618923
Week 3 C,3,21,continuous,1000,6.90775527898214,0.4863,-0.240309853857466,-0.0349316479846996
Week 3 C,4,21,continuous,1000,6.90775527898214,0.3912,-0.312845446940492,-0.107467241067726
Week 4 C,1,28,continuous,1000,6.90775527898214,0.4784,-0.245769358781905,-0.040391152909139
Week 4 C,2,28,continuous,1000,6.90775527898214,0.4585,-0.259931662428539,-0.0545534565557731
Week 4 C,3,28,continuous,1000,6.90775527898214,0.4944,-0.234803457612885,-0.0294252517401193
Week 4 C,4,28,continuous,1000,6.90775527898214,0.4878,-0.239283264400106,-0.0339050585273397
Week 2 I,1,14,intermittent,1000,6.90775527898214,0.151,-0.630158480722404,-0.424780274849638
Week 2 I,2,14,intermittent,1000,6.90775527898214,0.145,-0.643673845520521,-0.438295639647755
Week 2 I,3,14,intermittent,1000,6.90775527898214,0.1719,-0.586947455531111,-0.381569249658345
Week 2 I,4,14,intermittent,1000,6.90775527898214,0.1242,-0.695287369827586,-0.48990916395482
Week 3 I,1,21,intermittent,1000,6.90775527898214,0.5056,-0.227336478716496,-0.0219582728437304
Week 3 I,2,21,intermittent,1000,6.90775527898214,0.515,-0.221196126106134,-0.0158179202333676
Week 3 I,3,21,intermittent,1000,6.90775527898214,0.5198,-0.218103718924916,-0.0127255130521497
Week 3 I,4,21,intermittent,1000,6.90775527898214,0.4333,-0.278774983412091,-0.0733967775393251
Week 4 I,1,28,intermittent,1000,6.90775527898214,0.1965,-0.542364282557607,-0.336986076684841
Week 4 I,2,28,intermittent,1000,6.90775527898214,0.1935,-0.547492588837433,-0.342114382964667
Week 4 I,3,28,intermittent,1000,6.90775527898214,0.2153,-0.511907624870607,-0.306529418997841
Week 4 I,4,28,intermittent,1000,6.90775527898214,0.193,-0.54835503002575,-0.342976824152984
V600E,1,0,nil,3000,8.00636756765025,0.0479,-1.01287992485509,-0.807501718982323
V600E,2,0,nil,3000,8.00636756765025,0.0526,-0.981679719746158,-0.776301513873392
V600E,3,0,nil,3000,8.00636756765025,0.0544,-0.970463708373413,-0.765085502500647
V600E,4,0,nil,3000,8.00636756765025,0.0494,-1.00260161826275,-0.797223412389988
Week 1,1,7,continuous,3000,8.00636756765025,0.2961,-0.405686014624864,-0.200307808752098
Week 1,2,7,continuous,3000,8.00636756765025,0.2865,-0.416672247609114,-0.211294041736348
Week 1,3,7,continuous,3000,8.00636756765025,0.2858,-0.417487671162123,-0.212109465289357
Week 1,4,7,continuous,3000,8.00636756765025,0.2919,-0.410448000374023,-0.205069794501257
Week 2 C,1,14,continuous,3000,8.00636756765025,0.2947,-0.407265796412829,-0.201887590540063
Week 2 C,2,14,continuous,3000,8.00636756765025,0.3073,-0.393310269948566,-0.1879320640758
Week 2 C,3,14,continuous,3000,8.00636756765025,0.3067,-0.393961735953977,-0.188583530081211
Week 2 C,4,14,continuous,3000,8.00636756765025,0.3162,-0.383793451402255,-0.178415245529489
Week 3 C,1,21,continuous,3000,8.00636756765025,0.2663,-0.44104392872075,-0.235665722847984
Week 3 C,2,21,continuous,3000,8.00636756765025,0.3243,-0.375362088556288,-0.169983882683522
Week 3 C,3,21,continuous,3000,8.00636756765025,0.2739,-0.431664067571035,-0.226285861698269
Week 3 C,4,21,continuous,3000,8.00636756765025,0.3586,-0.341849239270368,-0.136471033397602
Week 4 C,1,28,continuous,3000,8.00636756765025,0.2984,-0.403106803550844,-0.197728597678078
Week 4 C,2,28,continuous,3000,8.00636756765025,0.2858,-0.417487671162123,-0.212109465289357
Week 4 C,3,28,continuous,3000,8.00636756765025,0.2582,-0.451340266856532,-0.245962060983766
Week 4 C,4,28,continuous,3000,8.00636756765025,0.2977,-0.403889670320135,-0.198511464447369
Week 2 I,1,14,intermittent,3000,8.00636756765025,0.0375,-1.09447144866859,-0.889093242795825
Week 2 I,2,14,intermittent,3000,8.00636756765025,0.0544,-0.970463708373413,-0.765085502500647
Week 2 I,3,14,intermittent,3000,8.00636756765025,0.05,-0.998577424517997,-0.793199218645231
Week 2 I,4,14,intermittent,3000,8.00636756765025,0.045,-1.03369759640394,-0.828319390531173
Week 3 I,1,21,intermittent,3000,8.00636756765025,0.2884,-0.414468957857114,-0.209090751984348
Week 3 I,2,21,intermittent,3000,8.00636756765025,0.3271,-0.372496448145933,-0.167118242273167
Week 3 I,3,21,intermittent,3000,8.00636756765025,0.2902,-0.412394979510683,-0.207016773637917
Week 3 I,4,21,intermittent,3000,8.00636756765025,0.2827,-0.421123004760864,-0.215744798888098
Week 4 I,1,28,intermittent,3000,8.00636756765025,0.0717,-0.878421510458854,-0.673043304586088
Week 4 I,2,28,intermittent,3000,8.00636756765025,0.0719,-0.877493004751712,-0.672114798878946
Week 4 I,3,28,intermittent,3000,8.00636756765025,0.0724,-0.875182993196822,-0.669804787324056
Week 4 I,4,28,intermittent,3000,8.00636756765025,0.0729,-0.872888879989175,-0.667510674116409
V600E,1,0,nil,10000,9.21034037197618,0.0734,-0.870610447787222,-0.665232241914456
V600E,2,0,nil,10000,9.21034037197618,0.0678,-0.897064361345262,-0.691686155472496
V600E,3,0,nil,10000,9.21034037197618,0.0712,-0.880754153521402,-0.675375947648636
V600E,4,0,nil,10000,9.21034037197618,0.0599,-0.938359591286911,-0.732981385414145
Week 1,1,7,continuous,10000,9.21034037197618,0.3307,-0.368847886331463,-0.163469680458697
Week 1,2,7,continuous,10000,9.21034037197618,0.3531,-0.347001325349265,-0.141623119476499
Week 1,3,7,continuous,10000,9.21034037197618,0.3224,-0.377320756116555,-0.171942550243789
Week 1,4,7,continuous,10000,9.21034037197618,0.2904,-0.412165332010499,-0.206787126137733
Week 2 C,1,14,continuous,10000,9.21034037197618,0.3954,-0.309285789415207,-0.103907583542441
Week 2 C,2,14,continuous,10000,9.21034037197618,0.4267,-0.283891362929394,-0.0785131570566282
Week 2 C,3,14,continuous,10000,9.21034037197618,0.3526,-0.347473669672789,-0.142095463800023
Week 2 C,4,14,continuous,10000,9.21034037197618,0.3553,-0.344930925318385,-0.139552719445619
Week 3 C,1,21,continuous,10000,9.21034037197618,0.3856,-0.317651572081916,-0.112273366209149
Week 3 C,2,21,continuous,10000,9.21034037197618,0.4252,-0.285065210838115,-0.0796870049653487
Week 3 C,3,21,continuous,10000,9.21034037197618,0.4035,-0.302526263757378,-0.0971480578846118
Week 3 C,4,21,continuous,10000,9.21034037197618,0.3494,-0.35051262709406,-0.145134421221294
Week 4 C,1,28,continuous,10000,9.21034037197618,0.3547,-0.345494305734187,-0.140116099861421
Week 4 C,2,28,continuous,10000,9.21034037197618,0.3752,-0.326765353950023,-0.121387148077257
Week 4 C,3,28,continuous,10000,9.21034037197618,0.3779,-0.324375222875565,-0.118997017002799
Week 4 C,4,28,continuous,10000,9.21034037197618,0.3558,-0.344462167916801,-0.139083962044035
Week 2 I,1,14,intermittent,10000,9.21034037197618,0.0641,-0.915770305018504,-0.710392099145738
Week 2 I,2,14,intermittent,10000,9.21034037197618,0.0676,-0.898049098644406,-0.69267089277164
Week 2 I,3,14,intermittent,10000,9.21034037197618,0.0924,-0.7938761001115,-0.588497894238734
Week 2 I,4,14,intermittent,10000,9.21034037197618,0.0594,-0.941153684204513,-0.735775478331747
Week 3 I,1,21,intermittent,10000,9.21034037197618,0.2864,-0.416788614631882,-0.211410408759116
Week 3 I,2,21,intermittent,10000,9.21034037197618,0.2928,-0.409421832298327,-0.204043626425561
Week 3 I,3,21,intermittent,10000,9.21034037197618,0.3378,-0.361767091536146,-0.15638888566338
Week 3 I,4,21,intermittent,10000,9.21034037197618,0.2704,-0.435950978271109,-0.230572772398343
Week 4 I,1,28,intermittent,10000,9.21034037197618,0.0793,-0.844839050113778,-0.639460844241012
Week 4 I,2,28,intermittent,10000,9.21034037197618,0.0838,-0.8264407571647,-0.621062551291934
Week 4 I,3,28,intermittent,10000,9.21034037197618,0.0804,-0.840247034265739,-0.634868828392973
Week 4 I,4,28,intermittent,10000,9.21034037197618,0.0799,-0.842326475403303,-0.636948269530537
