sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
Week 4 I,3,28,intermittent,0.1,-2.30258509299405,0.8961,-0.0365677550306544,0.168810450842112
Week 4 I,4,28,intermittent,0.1,-2.30258509299405,1.0232,0.00764499042749866,0.213023196300265
V600E,1,0,nil,0.3,-1.20397280432594,0.839,-0.058514857504977,0.146863348367789
V600E,2,0,nil,0.3,-1.20397280432594,0.8446,-0.0562973788274313,0.149080827045335
V600E,3,0,nil,0.3,-1.20397280432594,0.8151,-0.0681481579605751,0.137230047912191
V600E,4,0,nil,0.3,-1.20397280432594,0.9331,-0.0230809675807202,0.182297238292046
Week 1,1,7,continuous,0.3,-1.20397280432594,0.7245,-0.107424505740467,0.0979537001322994
Week 1,2,7,continuous,0.3,-1.20397280432594,0.7686,-0.0877282002837979,0.117650005588968
Week 1,3,7,continuous,0.3,-1.20397280432594,0.7332,-0.103445587672196,0.10193261820057
Week 1,4,7,continuous,0.3,-1.20397280432594,0.756,-0.093237967600868,0.112140238271898
Week 2 C,1,14,continuous,0.3,-1.20397280432594,0.6402,-0.148658217148791,0.0567199887239746
Week 2 C,2,14,continuous,0.3,-1.20397280432594,0.6421,-0.147670408060711,0.0577077978120546
Week 2 C,3,14,continuous,0.3,-1.20397280432594,0.6325,-0.152691686126821,0.0526865197459454
Week 2 C,4,14,continuous,0.3,-1.20397280432594,0.6453,-0.146013318013448,0.0593648878593184
Week 3 C,1,21,continuous,0.3,-1.20397280432594,0.7431,-0.0989748846062378,0.106403321266528
Week 3 C,2,21,continuous,0.3,-1.20397280432594,0.8146,-0.068352694589275,0.137025511283491
Week 3 C,3,21,continuous,0.3,-1.20397280432594,0.7171,-0.110846659364536,0.09453154650823
Week 3 C,4,21,continuous,0.3,-1.20397280432594,0.7625,-0.0903842568335235,0.114993949039243
Week 4 C,1,28,continuous,0.3,-1.20397280432594,0.7674,-0.088249033723095,0.117129172149671
Week 4 C,2,28,continuous,0.3,-1.20397280432594,0.8564,-0.0516725740888698,0.153705631783896
Week 4 C,3,28,continuous,0.3,-1.20397280432594,0.7214,-0.108853836837566,0.0965243690351999
Week 4 C,4,28,continuous,0.3,-1.20397280432594,0.8051,-0.072262928558734,0.133115277314032
Week 2 I,1,14,intermittent,0.3,-1.20397280432594,0.7455,-0.0979000482591146,0.107478157613651
Week 2 I,2,14,intermittent,0.3,-1.20397280432594,0.9836,-0.00551198954669984,0.199866216326066
Week 2 I,3,14,intermittent,0.3,-1.20397280432594,0.8202,-0.0660690220080594,0.139309183864707
Week 2 I,4,14,intermittent,0.3,-1.20397280432594,0.935,-0.0224029165644833,0.182975289308283
Week 3 I,1,21,intermittent,0.3,-1.20397280432594,0.6712,-0.13289604127638,0.0724821645963858
Week 3 I,2,21,intermittent,0.3,-1.20397280432594,0.7272,-0.106184578706289,0.0991936271664767
Week 3 I,3,21,intermittent,0.3,-1.20397280432594,0.6435,-0.146944417315319,0.0584337885574474
Week 3 I,4,21,intermittent,0.3,-1.20397280432594,0.6646,-0.136189974353881,0.069188231518885
Week 4 I,1,28,intermittent,0.3,-1.20397280432594,0.9313,-0.0237246064848416,0.181653599387924
Week 4 I,2,28,intermittent,0.3,-1.20397280432594,0.7632,-0.0900783862826868,0.115299819590079
Week 4 I,3,28,intermittent,0.3,-1.20397280432594,0.8641,-0.0486889253782612,0.156689280494505
Week 4 I,4,28,intermittent,0.3,-1.20397280432594,0.8785,-0.0431797904516617,0.162198415421104
V600E,1,0,nil,1,0,0.9768,-0.00782445206188071,0.197553753810885
V600E,2,0,nil,1,0,0.966,-0.011530481589873,0.193847724282893
V600E,3,0,nil,1,0,1.0859,0.0274697120802393,0.232847917953005
V600E,4,0,nil,1,0,0.9712,-0.00974095289230109,0.195637252980465
Week 1,1,7,continuous,1,0,0.8161,-0.0677394608356466,0.137638745037119
Week 1,2,7,continuous,1,0,0.7658,-0.0889447466463143,0.116433459226452
Week 1,3,7,continuous,1,0,0.719,-0.109964640420363,0.0954135654524026
Week 1,4,7,continuous,1,0,0.6469,-0.145187851977399,0.0601903538953669
